Class Name,Class Index,Accuracy
가지,0,0.8
감자스프,1,0.95
감,2,1.0
게맛살,3,0.95
거봉포도,4,0.9
게장,5,1.0
고등어구이,6,0.65
고추장아찌,7,0.85
군고구마,8,0.85
귤,9,0.85
고추,10,0.8
곶감,11,0.85
김,12,1.0
김치찌개,13,0.95
꿀,14,0.85
김치볶음밥,15,0.7
달걀볶음밥,16,0.9
녹색피망,17,0.85
단호박,18,0.95
당근케이크,19,0.85
닭갈비,20,0.75
닭가슴살,21,0.75
데리야끼치킨,22,0.95
돼지갈비찜,23,0.9
두부,24,0.85
떡국,25,0.9
딸기,26,0.95
등심스테이크,27,0.8
레몬,28,0.85
롤케이크,29,0.85
마른오징어,30,0.95
미트볼,31,1.0
미역나물,32,1.0
무우,33,0.85
만두,34,0.75
미소장국,35,0.9
멜론,36,0.95
방울토마토,37,0.85
밤,38,1.0
백도,39,0.9
버터쿠키,40,0.85
복숭아,41,0.4
보쌈,42,0.8
베이컨구이,43,0.8
브로콜리,44,1.0
봉골레파스타,45,0.9
블루베리,46,0.9
붕어빵,47,1.0
비엔나소시지,48,0.8
부대찌개,49,0.9
브라우니,50,0.85
사과,51,0.8
사탕,52,0.9
사과파이,53,0.8
산딸기,54,1.0
삼계탕,55,0.85
삼겹살구이,56,0.85
상추,57,0.95
석류,58,0.95
스크램블드에그,59,0.9
숙주나물,60,1.0
수박,61,0.95
솜사탕,62,0.95
시리얼바,63,0.8
스파게티,64,0.85
쌀밥,65,1.0
아보카도샐러드,66,0.9
어묵국,67,0.95
앵두,68,1.0
양배추쌈,69,0.95
연어구이,70,0.65
연어회,71,0.9
오렌지,72,0.7
오코노미야끼,73,0.85
오리로스구이,74,0.95
오이피클,75,0.85
자두,76,0.65
우동,77,0.7
족발,78,0.7
찐빵,79,0.95
츄러스,80,0.95
참치회,81,0.75
천도복숭아,82,0.65
퀘사디아,83,0.9
키위,84,0.9
콩나물,85,0.95
크로와상,86,1.0
파인애플,87,1.0
파전,88,1.0
피자,89,0.85
피스타치오,90,1.0
펜네파스타,91,0.95
프렌치토스트,92,0.95
햄샌드위치,93,0.9
해시브라운,94,0.9
후라이드치킨,95,1.0
후랑크소시지,96,1.0
호두파이,97,0.9
떡볶이,98,0.9
후렌치후라이,99,0.85
